📈 PSX ATH Zone — 07 Sep 2026 (session 07 Sep)
Rule: 0–40% below all-time high (split/bonus-adjusted) · all PSX equities

🆕 IGIHL 258.35 · ▼38.6% · ATH 421.00 (1 Feb 17)
🆕 SUHJ 180.32 · ▼38.7% · ATH 293.96 (22 Jul 26)
🆕 FIL 288.09 · ▼39.0% · ATH 472.05 (10 Jul 26)
🆕 IDEAL 53.46 · ▼39.0% · ATH 87.70 (5 Jun 26)
🆕 BFMOD 23.67 · ▼39.1% · ATH 38.84 (12 Jan 26)
🆕 JUBS 45.03 · ▼39.1% · ATH 73.90 (5 May 26)
🆕 MACFL 60.78 · ▼39.2% · ATH 99.99 (20 Aug 26)
🆕 GCWL 15.26 · ▼39.3% · ATH 25.15 (6 Feb 26)
🆕 ASIC 36.58 · ▼39.4% · ATH 60.40 (27 Jul 26)
🆕 PPP 168.08 · ▼39.8% · ATH 279.00 (24 Jul 25)
🆕 TGL 175.34 · ▼39.9% · ATH 291.50 (2 Sep 25)
🆕 BLUEX 6.61 · ▼40.0% · ATH 11.01 (5 Dec 25)

Coverage: 705 equities · 516 with history · 483 active · 471 traded this session · 241 in zone
